Best params: {"epochs": 80, "layers": 7, "nodes": 50}
0.960 (+/-0.001) for {'epochs': 20, 'layers': 3, 'nodes': 30} 
0.960 (+/-0.001) for {'epochs': 20, 'layers': 3, 'nodes': 50} 
0.960 (+/-0.003) for {'epochs': 20, 'layers': 3, 'nodes': 70} 
0.960 (+/-0.001) for {'epochs': 20, 'layers': 3, 'nodes': 90} 
0.960 (+/-0.001) for {'epochs': 20, 'layers': 5, 'nodes': 30} 
0.960 (+/-0.004) for {'epochs': 20, 'layers': 5, 'nodes': 50} 
0.961 (+/-0.001) for {'epochs': 20, 'layers': 5, 'nodes': 70} 
0.960 (+/-0.003) for {'epochs': 20, 'layers': 5, 'nodes': 90} 
0.960 (+/-0.001) for {'epochs': 20, 'layers': 7, 'nodes': 30} 
0.961 (+/-0.001) for {'epochs': 20, 'layers': 7, 'nodes': 50} 
0.960 (+/-0.003) for {'epochs': 20, 'layers': 7, 'nodes': 70} 
0.961 (+/-0.002) for {'epochs': 20, 'layers': 7, 'nodes': 90} 
0.959 (+/-0.001) for {'epochs': 20, 'layers': 9, 'nodes': 30} 
0.957 (+/-0.004) for {'epochs': 20, 'layers': 9, 'nodes': 50} 
0.959 (+/-0.001) for {'epochs': 20, 'layers': 9, 'nodes': 70} 
0.960 (+/-0.001) for {'epochs': 20, 'layers': 9, 'nodes': 90} 
0.961 (+/-0.001) for {'epochs': 40, 'layers': 3, 'nodes': 30} 
0.961 (+/-0.002) for {'epochs': 40, 'layers': 3, 'nodes': 50} 
0.961 (+/-0.003) for {'epochs': 40, 'layers': 3, 'nodes': 70} 
0.962 (+/-0.001) for {'epochs': 40, 'layers': 3, 'nodes': 90} 
0.962 (+/-0.001) for {'epochs': 40, 'layers': 5, 'nodes': 30} 
0.962 (+/-0.000) for {'epochs': 40, 'layers': 5, 'nodes': 50} 
0.962 (+/-0.001) for {'epochs': 40, 'layers': 5, 'nodes': 70} 
0.961 (+/-0.002) for {'epochs': 40, 'layers': 5, 'nodes': 90} 
0.960 (+/-0.003) for {'epochs': 40, 'layers': 7, 'nodes': 30} 
0.962 (+/-0.001) for {'epochs': 40, 'layers': 7, 'nodes': 50} 
0.962 (+/-0.000) for {'epochs': 40, 'layers': 7, 'nodes': 70} 
0.962 (+/-0.000) for {'epochs': 40, 'layers': 7, 'nodes': 90} 
0.955 (+/-0.012) for {'epochs': 40, 'layers': 9, 'nodes': 30} 
0.961 (+/-0.002) for {'epochs': 40, 'layers': 9, 'nodes': 50} 
0.959 (+/-0.007) for {'epochs': 40, 'layers': 9, 'nodes': 70} 
0.952 (+/-0.024) for {'epochs': 40, 'layers': 9, 'nodes': 90} 
0.962 (+/-0.002) for {'epochs': 60, 'layers': 3, 'nodes': 30} 
0.962 (+/-0.001) for {'epochs': 60, 'layers': 3, 'nodes': 50} 
0.962 (+/-0.001) for {'epochs': 60, 'layers': 3, 'nodes': 70} 
0.961 (+/-0.001) for {'epochs': 60, 'layers': 3, 'nodes': 90} 
0.962 (+/-0.001) for {'epochs': 60, 'layers': 5, 'nodes': 30} 
0.962 (+/-0.000) for {'epochs': 60, 'layers': 5, 'nodes': 50} 
0.961 (+/-0.001) for {'epochs': 60, 'layers': 5, 'nodes': 70} 
0.961 (+/-0.001) for {'epochs': 60, 'layers': 5, 'nodes': 90} 
0.962 (+/-0.001) for {'epochs': 60, 'layers': 7, 'nodes': 30} 
0.962 (+/-0.001) for {'epochs': 60, 'layers': 7, 'nodes': 50} 
0.962 (+/-0.001) for {'epochs': 60, 'layers': 7, 'nodes': 70} 
0.961 (+/-0.001) for {'epochs': 60, 'layers': 7, 'nodes': 90} 
0.962 (+/-0.002) for {'epochs': 60, 'layers': 9, 'nodes': 30} 
0.962 (+/-0.000) for {'epochs': 60, 'layers': 9, 'nodes': 50} 
0.959 (+/-0.009) for {'epochs': 60, 'layers': 9, 'nodes': 70} 
0.953 (+/-0.015) for {'epochs': 60, 'layers': 9, 'nodes': 90} 
0.961 (+/-0.002) for {'epochs': 80, 'layers': 3, 'nodes': 30} 
0.963 (+/-0.001) for {'epochs': 80, 'layers': 3, 'nodes': 50} 
0.962 (+/-0.000) for {'epochs': 80, 'layers': 3, 'nodes': 70} 
0.962 (+/-0.000) for {'epochs': 80, 'layers': 3, 'nodes': 90} 
0.961 (+/-0.002) for {'epochs': 80, 'layers': 5, 'nodes': 30} 
0.962 (+/-0.000) for {'epochs': 80, 'layers': 5, 'nodes': 50} 
0.962 (+/-0.001) for {'epochs': 80, 'layers': 5, 'nodes': 70} 
0.962 (+/-0.001) for {'epochs': 80, 'layers': 5, 'nodes': 90} 
0.962 (+/-0.001) for {'epochs': 80, 'layers': 7, 'nodes': 30} 
0.963 (+/-0.001) for {'epochs': 80, 'layers': 7, 'nodes': 50} 
0.962 (+/-0.002) for {'epochs': 80, 'layers': 7, 'nodes': 70} 
0.962 (+/-0.001) for {'epochs': 80, 'layers': 7, 'nodes': 90} 
0.962 (+/-0.001) for {'epochs': 80, 'layers': 9, 'nodes': 30} 
0.962 (+/-0.000) for {'epochs': 80, 'layers': 9, 'nodes': 50} 
0.962 (+/-0.001) for {'epochs': 80, 'layers': 9, 'nodes': 70} 
0.960 (+/-0.004) for {'epochs': 80, 'layers': 9, 'nodes': 90} 
