Best params: {"epochs": 80, "layers": 5, "nodes": 30}
0.883 (+/-0.005) for {'epochs': 20, 'layers': 3, 'nodes': 30} 
0.876 (+/-0.012) for {'epochs': 20, 'layers': 3, 'nodes': 50} 
0.883 (+/-0.002) for {'epochs': 20, 'layers': 3, 'nodes': 70} 
0.882 (+/-0.007) for {'epochs': 20, 'layers': 3, 'nodes': 90} 
0.876 (+/-0.005) for {'epochs': 20, 'layers': 5, 'nodes': 30} 
0.878 (+/-0.006) for {'epochs': 20, 'layers': 5, 'nodes': 50} 
0.879 (+/-0.005) for {'epochs': 20, 'layers': 5, 'nodes': 70} 
0.884 (+/-0.007) for {'epochs': 20, 'layers': 5, 'nodes': 90} 
0.876 (+/-0.005) for {'epochs': 20, 'layers': 7, 'nodes': 30} 
0.881 (+/-0.004) for {'epochs': 20, 'layers': 7, 'nodes': 50} 
0.881 (+/-0.003) for {'epochs': 20, 'layers': 7, 'nodes': 70} 
0.881 (+/-0.005) for {'epochs': 20, 'layers': 7, 'nodes': 90} 
0.878 (+/-0.003) for {'epochs': 20, 'layers': 9, 'nodes': 30} 
0.881 (+/-0.010) for {'epochs': 20, 'layers': 9, 'nodes': 50} 
0.877 (+/-0.009) for {'epochs': 20, 'layers': 9, 'nodes': 70} 
0.873 (+/-0.009) for {'epochs': 20, 'layers': 9, 'nodes': 90} 
0.887 (+/-0.002) for {'epochs': 40, 'layers': 3, 'nodes': 30} 
0.884 (+/-0.002) for {'epochs': 40, 'layers': 3, 'nodes': 50} 
0.885 (+/-0.002) for {'epochs': 40, 'layers': 3, 'nodes': 70} 
0.886 (+/-0.002) for {'epochs': 40, 'layers': 3, 'nodes': 90} 
0.886 (+/-0.002) for {'epochs': 40, 'layers': 5, 'nodes': 30} 
0.887 (+/-0.002) for {'epochs': 40, 'layers': 5, 'nodes': 50} 
0.886 (+/-0.002) for {'epochs': 40, 'layers': 5, 'nodes': 70} 
0.885 (+/-0.003) for {'epochs': 40, 'layers': 5, 'nodes': 90} 
0.883 (+/-0.005) for {'epochs': 40, 'layers': 7, 'nodes': 30} 
0.886 (+/-0.005) for {'epochs': 40, 'layers': 7, 'nodes': 50} 
0.882 (+/-0.007) for {'epochs': 40, 'layers': 7, 'nodes': 70} 
0.883 (+/-0.002) for {'epochs': 40, 'layers': 7, 'nodes': 90} 
0.882 (+/-0.006) for {'epochs': 40, 'layers': 9, 'nodes': 30} 
0.884 (+/-0.012) for {'epochs': 40, 'layers': 9, 'nodes': 50} 
0.883 (+/-0.002) for {'epochs': 40, 'layers': 9, 'nodes': 70} 
0.878 (+/-0.020) for {'epochs': 40, 'layers': 9, 'nodes': 90} 
0.886 (+/-0.006) for {'epochs': 60, 'layers': 3, 'nodes': 30} 
0.888 (+/-0.002) for {'epochs': 60, 'layers': 3, 'nodes': 50} 
0.885 (+/-0.006) for {'epochs': 60, 'layers': 3, 'nodes': 70} 
0.886 (+/-0.001) for {'epochs': 60, 'layers': 3, 'nodes': 90} 
0.888 (+/-0.002) for {'epochs': 60, 'layers': 5, 'nodes': 30} 
0.886 (+/-0.004) for {'epochs': 60, 'layers': 5, 'nodes': 50} 
0.886 (+/-0.004) for {'epochs': 60, 'layers': 5, 'nodes': 70} 
0.885 (+/-0.004) for {'epochs': 60, 'layers': 5, 'nodes': 90} 
0.887 (+/-0.002) for {'epochs': 60, 'layers': 7, 'nodes': 30} 
0.886 (+/-0.002) for {'epochs': 60, 'layers': 7, 'nodes': 50} 
0.886 (+/-0.002) for {'epochs': 60, 'layers': 7, 'nodes': 70} 
0.885 (+/-0.004) for {'epochs': 60, 'layers': 7, 'nodes': 90} 
0.881 (+/-0.006) for {'epochs': 60, 'layers': 9, 'nodes': 30} 
0.883 (+/-0.006) for {'epochs': 60, 'layers': 9, 'nodes': 50} 
0.877 (+/-0.013) for {'epochs': 60, 'layers': 9, 'nodes': 70} 
0.885 (+/-0.006) for {'epochs': 60, 'layers': 9, 'nodes': 90} 
0.887 (+/-0.004) for {'epochs': 80, 'layers': 3, 'nodes': 30} 
0.886 (+/-0.005) for {'epochs': 80, 'layers': 3, 'nodes': 50} 
0.887 (+/-0.002) for {'epochs': 80, 'layers': 3, 'nodes': 70} 
0.885 (+/-0.002) for {'epochs': 80, 'layers': 3, 'nodes': 90} 
0.889 (+/-0.001) for {'epochs': 80, 'layers': 5, 'nodes': 30} 
0.886 (+/-0.004) for {'epochs': 80, 'layers': 5, 'nodes': 50} 
0.884 (+/-0.008) for {'epochs': 80, 'layers': 5, 'nodes': 70} 
0.885 (+/-0.003) for {'epochs': 80, 'layers': 5, 'nodes': 90} 
0.887 (+/-0.001) for {'epochs': 80, 'layers': 7, 'nodes': 30} 
0.887 (+/-0.002) for {'epochs': 80, 'layers': 7, 'nodes': 50} 
0.881 (+/-0.006) for {'epochs': 80, 'layers': 7, 'nodes': 70} 
0.887 (+/-0.000) for {'epochs': 80, 'layers': 7, 'nodes': 90} 
0.886 (+/-0.003) for {'epochs': 80, 'layers': 9, 'nodes': 30} 
0.886 (+/-0.005) for {'epochs': 80, 'layers': 9, 'nodes': 50} 
0.884 (+/-0.005) for {'epochs': 80, 'layers': 9, 'nodes': 70} 
0.886 (+/-0.001) for {'epochs': 80, 'layers': 9, 'nodes': 90} 
