Best params: {"epochs": 120, "layers": 7, "learning_rate": 0.001, "nodes": 50}
-0.044 (+/-0.000) for {'epochs': 120, 'layers': 5, 'learning_rate': 0.1, 'nodes': 50} 
-0.045 (+/-0.000) for {'epochs': 120, 'layers': 5, 'learning_rate': 0.1, 'nodes': 70} 
-0.045 (+/-0.001) for {'epochs': 120, 'layers': 5, 'learning_rate': 0.1, 'nodes': 90} 
-0.044 (+/-0.000) for {'epochs': 120, 'layers': 5, 'learning_rate': 0.01, 'nodes': 50} 
-0.045 (+/-0.000) for {'epochs': 120, 'layers': 5, 'learning_rate': 0.01, 'nodes': 70} 
-0.045 (+/-0.000) for {'epochs': 120, 'layers': 5, 'learning_rate': 0.01, 'nodes': 90} 
-0.044 (+/-0.000) for {'epochs': 120, 'layers': 5, 'learning_rate': 0.001, 'nodes': 50} 
-0.045 (+/-0.000) for {'epochs': 120, 'layers': 5, 'learning_rate': 0.001, 'nodes': 70} 
-0.045 (+/-0.000) for {'epochs': 120, 'layers': 5, 'learning_rate': 0.001, 'nodes': 90} 
-0.044 (+/-0.001) for {'epochs': 120, 'layers': 7, 'learning_rate': 0.1, 'nodes': 50} 
-0.055 (+/-0.017) for {'epochs': 120, 'layers': 7, 'learning_rate': 0.1, 'nodes': 70} 
-0.055 (+/-0.017) for {'epochs': 120, 'layers': 7, 'learning_rate': 0.1, 'nodes': 90} 
-0.044 (+/-0.001) for {'epochs': 120, 'layers': 7, 'learning_rate': 0.01, 'nodes': 50} 
-0.045 (+/-0.000) for {'epochs': 120, 'layers': 7, 'learning_rate': 0.01, 'nodes': 70} 
-0.062 (+/-0.000) for {'epochs': 120, 'layers': 7, 'learning_rate': 0.01, 'nodes': 90} 
-0.044 (+/-0.000) for {'epochs': 120, 'layers': 7, 'learning_rate': 0.001, 'nodes': 50} 
-0.045 (+/-0.000) for {'epochs': 120, 'layers': 7, 'learning_rate': 0.001, 'nodes': 70} 
-0.062 (+/-0.000) for {'epochs': 120, 'layers': 7, 'learning_rate': 0.001, 'nodes': 90} 
-0.051 (+/-0.017) for {'epochs': 120, 'layers': 9, 'learning_rate': 0.1, 'nodes': 50} 
-0.062 (+/-0.000) for {'epochs': 120, 'layers': 9, 'learning_rate': 0.1, 'nodes': 70} 
-0.062 (+/-0.000) for {'epochs': 120, 'layers': 9, 'learning_rate': 0.1, 'nodes': 90} 
-0.048 (+/-0.014) for {'epochs': 120, 'layers': 9, 'learning_rate': 0.01, 'nodes': 50} 
-0.062 (+/-0.000) for {'epochs': 120, 'layers': 9, 'learning_rate': 0.01, 'nodes': 70} 
-0.062 (+/-0.000) for {'epochs': 120, 'layers': 9, 'learning_rate': 0.01, 'nodes': 90} 
-0.051 (+/-0.017) for {'epochs': 120, 'layers': 9, 'learning_rate': 0.001, 'nodes': 50} 
-0.062 (+/-0.000) for {'epochs': 120, 'layers': 9, 'learning_rate': 0.001, 'nodes': 70} 
-0.062 (+/-0.000) for {'epochs': 120, 'layers': 9, 'learning_rate': 0.001, 'nodes': 90} 
