Best params: {"epochs": 120, "layers": 6, "learning_rate": 0.001, "nodes": 50}
-0.049 (+/-0.000) for {'epochs': 120, 'layers': 6, 'learning_rate': 0.005, 'nodes': 50} 
-0.050 (+/-0.001) for {'epochs': 120, 'layers': 6, 'learning_rate': 0.005, 'nodes': 70} 
-0.056 (+/-0.008) for {'epochs': 120, 'layers': 6, 'learning_rate': 0.005, 'nodes': 90} 
-0.049 (+/-0.000) for {'epochs': 120, 'layers': 6, 'learning_rate': 0.001, 'nodes': 50} 
-0.050 (+/-0.000) for {'epochs': 120, 'layers': 6, 'learning_rate': 0.001, 'nodes': 70} 
-0.058 (+/-0.007) for {'epochs': 120, 'layers': 6, 'learning_rate': 0.001, 'nodes': 90} 
-0.050 (+/-0.000) for {'epochs': 120, 'layers': 6, 'learning_rate': 0.0005, 'nodes': 50} 
-0.050 (+/-0.001) for {'epochs': 120, 'layers': 6, 'learning_rate': 0.0005, 'nodes': 70} 
-0.056 (+/-0.009) for {'epochs': 120, 'layers': 6, 'learning_rate': 0.0005, 'nodes': 90} 
-0.050 (+/-0.001) for {'epochs': 120, 'layers': 8, 'learning_rate': 0.005, 'nodes': 50} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 8, 'learning_rate': 0.005, 'nodes': 70} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 8, 'learning_rate': 0.005, 'nodes': 90} 
-0.052 (+/-0.005) for {'epochs': 120, 'layers': 8, 'learning_rate': 0.001, 'nodes': 50} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 8, 'learning_rate': 0.001, 'nodes': 70} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 8, 'learning_rate': 0.001, 'nodes': 90} 
-0.054 (+/-0.009) for {'epochs': 120, 'layers': 8, 'learning_rate': 0.0005, 'nodes': 50} 
-0.058 (+/-0.007) for {'epochs': 120, 'layers': 8, 'learning_rate': 0.0005, 'nodes': 70} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 8, 'learning_rate': 0.0005, 'nodes': 90} 
-0.058 (+/-0.008) for {'epochs': 120, 'layers': 10, 'learning_rate': 0.005, 'nodes': 50} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 10, 'learning_rate': 0.005, 'nodes': 70} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 10, 'learning_rate': 0.005, 'nodes': 90} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 10, 'learning_rate': 0.001, 'nodes': 50} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 10, 'learning_rate': 0.001, 'nodes': 70} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 10, 'learning_rate': 0.001, 'nodes': 90} 
-0.058 (+/-0.007) for {'epochs': 120, 'layers': 10, 'learning_rate': 0.0005, 'nodes': 50} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 10, 'learning_rate': 0.0005, 'nodes': 70} 
-0.060 (+/-0.000) for {'epochs': 120, 'layers': 10, 'learning_rate': 0.0005, 'nodes': 90} 
