Best params: {"epochs": 60, "layers": 5, "nodes": 40}
0.979 (+/-0.001) for {'epochs': 20, 'layers': 3, 'nodes': 40} 
0.979 (+/-0.001) for {'epochs': 20, 'layers': 3, 'nodes': 60} 
0.979 (+/-0.001) for {'epochs': 20, 'layers': 3, 'nodes': 80} 
0.979 (+/-0.001) for {'epochs': 20, 'layers': 3, 'nodes': 100} 
0.978 (+/-0.002) for {'epochs': 20, 'layers': 5, 'nodes': 40} 
0.979 (+/-0.001) for {'epochs': 20, 'layers': 5, 'nodes': 60} 
0.979 (+/-0.000) for {'epochs': 20, 'layers': 5, 'nodes': 80} 
0.979 (+/-0.001) for {'epochs': 20, 'layers': 5, 'nodes': 100} 
0.979 (+/-0.002) for {'epochs': 20, 'layers': 7, 'nodes': 40} 
0.979 (+/-0.003) for {'epochs': 20, 'layers': 7, 'nodes': 60} 
0.979 (+/-0.000) for {'epochs': 20, 'layers': 7, 'nodes': 80} 
0.979 (+/-0.001) for {'epochs': 20, 'layers': 7, 'nodes': 100} 
0.979 (+/-0.001) for {'epochs': 20, 'layers': 9, 'nodes': 40} 
0.979 (+/-0.001) for {'epochs': 20, 'layers': 9, 'nodes': 60} 
0.979 (+/-0.001) for {'epochs': 20, 'layers': 9, 'nodes': 80} 
0.976 (+/-0.006) for {'epochs': 20, 'layers': 9, 'nodes': 100} 
0.979 (+/-0.000) for {'epochs': 40, 'layers': 3, 'nodes': 40} 
0.980 (+/-0.001) for {'epochs': 40, 'layers': 3, 'nodes': 60} 
0.980 (+/-0.001) for {'epochs': 40, 'layers': 3, 'nodes': 80} 
0.979 (+/-0.001) for {'epochs': 40, 'layers': 3, 'nodes': 100} 
0.980 (+/-0.001) for {'epochs': 40, 'layers': 5, 'nodes': 40} 
0.980 (+/-0.001) for {'epochs': 40, 'layers': 5, 'nodes': 60} 
0.978 (+/-0.005) for {'epochs': 40, 'layers': 5, 'nodes': 80} 
0.980 (+/-0.001) for {'epochs': 40, 'layers': 5, 'nodes': 100} 
0.980 (+/-0.001) for {'epochs': 40, 'layers': 7, 'nodes': 40} 
0.979 (+/-0.001) for {'epochs': 40, 'layers': 7, 'nodes': 60} 
0.980 (+/-0.001) for {'epochs': 40, 'layers': 7, 'nodes': 80} 
0.979 (+/-0.000) for {'epochs': 40, 'layers': 7, 'nodes': 100} 
0.980 (+/-0.001) for {'epochs': 40, 'layers': 9, 'nodes': 40} 
0.979 (+/-0.002) for {'epochs': 40, 'layers': 9, 'nodes': 60} 
0.976 (+/-0.006) for {'epochs': 40, 'layers': 9, 'nodes': 80} 
0.978 (+/-0.004) for {'epochs': 40, 'layers': 9, 'nodes': 100} 
0.979 (+/-0.000) for {'epochs': 60, 'layers': 3, 'nodes': 40} 
0.979 (+/-0.000) for {'epochs': 60, 'layers': 3, 'nodes': 60} 
0.979 (+/-0.001) for {'epochs': 60, 'layers': 3, 'nodes': 80} 
0.977 (+/-0.001) for {'epochs': 60, 'layers': 3, 'nodes': 100} 
0.980 (+/-0.000) for {'epochs': 60, 'layers': 5, 'nodes': 40} 
0.980 (+/-0.000) for {'epochs': 60, 'layers': 5, 'nodes': 60} 
0.979 (+/-0.001) for {'epochs': 60, 'layers': 5, 'nodes': 80} 
0.978 (+/-0.002) for {'epochs': 60, 'layers': 5, 'nodes': 100} 
0.980 (+/-0.000) for {'epochs': 60, 'layers': 7, 'nodes': 40} 
0.980 (+/-0.001) for {'epochs': 60, 'layers': 7, 'nodes': 60} 
0.980 (+/-0.001) for {'epochs': 60, 'layers': 7, 'nodes': 80} 
0.978 (+/-0.002) for {'epochs': 60, 'layers': 7, 'nodes': 100} 
0.980 (+/-0.000) for {'epochs': 60, 'layers': 9, 'nodes': 40} 
0.979 (+/-0.001) for {'epochs': 60, 'layers': 9, 'nodes': 60} 
0.978 (+/-0.001) for {'epochs': 60, 'layers': 9, 'nodes': 80} 
0.980 (+/-0.001) for {'epochs': 60, 'layers': 9, 'nodes': 100} 
0.979 (+/-0.001) for {'epochs': 80, 'layers': 3, 'nodes': 40} 
0.979 (+/-0.001) for {'epochs': 80, 'layers': 3, 'nodes': 60} 
0.978 (+/-0.001) for {'epochs': 80, 'layers': 3, 'nodes': 80} 
0.978 (+/-0.001) for {'epochs': 80, 'layers': 3, 'nodes': 100} 
0.980 (+/-0.001) for {'epochs': 80, 'layers': 5, 'nodes': 40} 
0.979 (+/-0.002) for {'epochs': 80, 'layers': 5, 'nodes': 60} 
0.979 (+/-0.001) for {'epochs': 80, 'layers': 5, 'nodes': 80} 
0.978 (+/-0.002) for {'epochs': 80, 'layers': 5, 'nodes': 100} 
0.980 (+/-0.001) for {'epochs': 80, 'layers': 7, 'nodes': 40} 
0.979 (+/-0.001) for {'epochs': 80, 'layers': 7, 'nodes': 60} 
0.979 (+/-0.002) for {'epochs': 80, 'layers': 7, 'nodes': 80} 
0.971 (+/-0.013) for {'epochs': 80, 'layers': 7, 'nodes': 100} 
0.980 (+/-0.001) for {'epochs': 80, 'layers': 9, 'nodes': 40} 
0.980 (+/-0.001) for {'epochs': 80, 'layers': 9, 'nodes': 60} 
0.977 (+/-0.003) for {'epochs': 80, 'layers': 9, 'nodes': 80} 
0.979 (+/-0.001) for {'epochs': 80, 'layers': 9, 'nodes': 100} 
