Best params: {"epochs": 40, "layers": 3, "nodes": 40}
0.985 (+/-0.001) for {'epochs': 20, 'layers': 3, 'nodes': 40} 
0.985 (+/-0.001) for {'epochs': 20, 'layers': 3, 'nodes': 60} 
0.985 (+/-0.001) for {'epochs': 20, 'layers': 3, 'nodes': 80} 
0.985 (+/-0.001) for {'epochs': 20, 'layers': 3, 'nodes': 100} 
0.985 (+/-0.001) for {'epochs': 20, 'layers': 5, 'nodes': 40} 
0.985 (+/-0.001) for {'epochs': 20, 'layers': 5, 'nodes': 60} 
0.985 (+/-0.001) for {'epochs': 20, 'layers': 5, 'nodes': 80} 
0.985 (+/-0.002) for {'epochs': 20, 'layers': 5, 'nodes': 100} 
0.985 (+/-0.001) for {'epochs': 20, 'layers': 7, 'nodes': 40} 
0.985 (+/-0.000) for {'epochs': 20, 'layers': 7, 'nodes': 60} 
0.984 (+/-0.001) for {'epochs': 20, 'layers': 7, 'nodes': 80} 
0.985 (+/-0.001) for {'epochs': 20, 'layers': 7, 'nodes': 100} 
0.984 (+/-0.001) for {'epochs': 20, 'layers': 9, 'nodes': 40} 
0.985 (+/-0.000) for {'epochs': 20, 'layers': 9, 'nodes': 60} 
0.985 (+/-0.002) for {'epochs': 20, 'layers': 9, 'nodes': 80} 
0.985 (+/-0.001) for {'epochs': 20, 'layers': 9, 'nodes': 100} 
0.986 (+/-0.000) for {'epochs': 40, 'layers': 3, 'nodes': 40} 
0.986 (+/-0.001) for {'epochs': 40, 'layers': 3, 'nodes': 60} 
0.985 (+/-0.001) for {'epochs': 40, 'layers': 3, 'nodes': 80} 
0.985 (+/-0.001) for {'epochs': 40, 'layers': 3, 'nodes': 100} 
0.986 (+/-0.000) for {'epochs': 40, 'layers': 5, 'nodes': 40} 
0.985 (+/-0.001) for {'epochs': 40, 'layers': 5, 'nodes': 60} 
0.985 (+/-0.000) for {'epochs': 40, 'layers': 5, 'nodes': 80} 
0.985 (+/-0.002) for {'epochs': 40, 'layers': 5, 'nodes': 100} 
0.985 (+/-0.002) for {'epochs': 40, 'layers': 7, 'nodes': 40} 
0.985 (+/-0.000) for {'epochs': 40, 'layers': 7, 'nodes': 60} 
0.985 (+/-0.001) for {'epochs': 40, 'layers': 7, 'nodes': 80} 
0.984 (+/-0.003) for {'epochs': 40, 'layers': 7, 'nodes': 100} 
0.985 (+/-0.001) for {'epochs': 40, 'layers': 9, 'nodes': 40} 
0.984 (+/-0.003) for {'epochs': 40, 'layers': 9, 'nodes': 60} 
0.984 (+/-0.002) for {'epochs': 40, 'layers': 9, 'nodes': 80} 
0.982 (+/-0.005) for {'epochs': 40, 'layers': 9, 'nodes': 100} 
0.986 (+/-0.001) for {'epochs': 60, 'layers': 3, 'nodes': 40} 
0.985 (+/-0.000) for {'epochs': 60, 'layers': 3, 'nodes': 60} 
0.984 (+/-0.001) for {'epochs': 60, 'layers': 3, 'nodes': 80} 
0.984 (+/-0.001) for {'epochs': 60, 'layers': 3, 'nodes': 100} 
0.985 (+/-0.001) for {'epochs': 60, 'layers': 5, 'nodes': 40} 
0.985 (+/-0.000) for {'epochs': 60, 'layers': 5, 'nodes': 60} 
0.984 (+/-0.002) for {'epochs': 60, 'layers': 5, 'nodes': 80} 
0.984 (+/-0.002) for {'epochs': 60, 'layers': 5, 'nodes': 100} 
0.985 (+/-0.001) for {'epochs': 60, 'layers': 7, 'nodes': 40} 
0.985 (+/-0.000) for {'epochs': 60, 'layers': 7, 'nodes': 60} 
0.985 (+/-0.001) for {'epochs': 60, 'layers': 7, 'nodes': 80} 
0.985 (+/-0.000) for {'epochs': 60, 'layers': 7, 'nodes': 100} 
0.986 (+/-0.001) for {'epochs': 60, 'layers': 9, 'nodes': 40} 
0.985 (+/-0.002) for {'epochs': 60, 'layers': 9, 'nodes': 60} 
0.983 (+/-0.006) for {'epochs': 60, 'layers': 9, 'nodes': 80} 
0.977 (+/-0.022) for {'epochs': 60, 'layers': 9, 'nodes': 100} 
0.985 (+/-0.001) for {'epochs': 80, 'layers': 3, 'nodes': 40} 
0.984 (+/-0.000) for {'epochs': 80, 'layers': 3, 'nodes': 60} 
0.983 (+/-0.001) for {'epochs': 80, 'layers': 3, 'nodes': 80} 
0.983 (+/-0.001) for {'epochs': 80, 'layers': 3, 'nodes': 100} 
0.986 (+/-0.000) for {'epochs': 80, 'layers': 5, 'nodes': 40} 
0.985 (+/-0.000) for {'epochs': 80, 'layers': 5, 'nodes': 60} 
0.984 (+/-0.001) for {'epochs': 80, 'layers': 5, 'nodes': 80} 
0.984 (+/-0.000) for {'epochs': 80, 'layers': 5, 'nodes': 100} 
0.986 (+/-0.000) for {'epochs': 80, 'layers': 7, 'nodes': 40} 
0.985 (+/-0.001) for {'epochs': 80, 'layers': 7, 'nodes': 60} 
0.985 (+/-0.002) for {'epochs': 80, 'layers': 7, 'nodes': 80} 
0.984 (+/-0.000) for {'epochs': 80, 'layers': 7, 'nodes': 100} 
0.985 (+/-0.002) for {'epochs': 80, 'layers': 9, 'nodes': 40} 
0.985 (+/-0.001) for {'epochs': 80, 'layers': 9, 'nodes': 60} 
0.985 (+/-0.001) for {'epochs': 80, 'layers': 9, 'nodes': 80} 
0.984 (+/-0.003) for {'epochs': 80, 'layers': 9, 'nodes': 100} 
